sk_name,sk_count,r_sum,r_max,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,raw_rds_hist_1_3,raw_rds_hist_4,raw_rds_hist_5,raw_rds_hist_6,raw_rds_hist_7,raw_rds_hist_8,raw_rds_hist_9,raw_rds_hist_10,raw_rds_hist_11,raw_rds_hist_12,raw_rds_hist_13,raw_rds_hist_14,raw_rds_hist_15,raw_rds_hist_16,raw_rds_hist_17,raw_rds_hist_18,raw_rds_hist_19,raw_rds_hist_20,raw_rds_hist_21_25,raw_rds_hist_25_plus,net_rds_hist_1_3,net_rds_hist_4,net_rds_hist_5,net_rds_hist_6,net_rds_hist_7,net_rds_hist_8,net_rds_hist_9,net_rds_hist_10,net_rds_hist_11,net_rds_hist_12,net_rds_hist_13,net_rds_hist_14,net_rds_hist_15,net_rds_hist_16,net_rds_hist_17,net_rds_hist_18,net_rds_hist_19,net_rds_hist_20,net_rds_hist_21_25,net_rds_hist_25_plus
Tel,8100,619284.8,99.1,4508,55.7,1398,17.3,1608,19.9,586,7.2,1233,15.2,10,11,10.5,11,10.7,3,0,0.0,0.0,0.0,363.0,436617.0,6284234.0,28639364.0,63391179.0,86905537.0,82290442.0,57113682.0,31705329.0,14896742.0,7347908.0,4507456.0,3404355.0,2840223.0,2431293.0,7652075.0,3712008.0,0.0,0.0,0.0,0.0,53.9,775.8,3535.7,7826.1,10729.1,10159.3,7051.1,3914.2,1839.1,907.1,556.5,420.3,350.6,300.2,944.7,458.3
Cur,8100,620545.4,99.0,4653,57.4,1292,16.0,1604,19.8,551,6.8,1205,14.9,11,12,11.5,12,11.7,3,0,0.0,0.0,0.0,4691.0,427202.0,5526602.0,26247757.0,60830136.0,86671491.0,84222466.0,59269256.0,32838557.0,15235145.0,7435210.0,4614303.0,3521614.0,2957849.0,2538913.0,7893974.0,3627511.0,0.0,0.0,0.0,0.6,52.7,682.3,3240.5,7509.9,10700.2,10397.8,7317.2,4054.1,1880.9,917.9,569.7,434.8,365.2,313.4,974.6,447.8
Bac,8100,615659.0,99.2,4836,59.7,1278,15.8,1529,18.9,457,5.6,1072,13.2,8,14,11.0,14,12.0,3,0,0.0,0.0,0.0,1165.0,320984.0,5269491.0,26536318.0,61907180.0,87615011.0,84173408.0,58610678.0,32199622.0,14915440.0,7237864.0,4544048.0,3446710.0,2899517.0,2471381.0,7777143.0,3632476.0,0.0,0.0,0.0,0.1,39.6,650.6,3276.1,7642.9,10816.7,10391.8,7235.9,3975.3,1841.4,893.6,561.0,425.5,358.0,305.1,960.1,448.5
Ant,8100,611012.5,98.6,4868,60.1,1274,15.7,1492,18.4,466,5.8,1044,12.9,14,13,13.5,15,14.0,3,0,0.0,0.0,0.0,2245.0,283217.0,4397047.0,23186219.0,56868522.0,84785559.0,85450016.0,62062700.0,35250020.0,16598620.0,8037610.0,4914059.0,3706321.0,3116335.0,2689191.0,8503829.0,4093940.0,0.0,0.0,0.0,0.3,35.0,542.8,2862.5,7020.8,10467.4,10549.4,7662.1,4351.9,2049.2,992.3,606.7,457.6,384.7,332.0,1049.9,505.4
Per,8100,608375.0,98.6,5070,62.6,1260,15.6,1347,16.6,423,5.2,942,11.6,14,16,15.0,16,15.3,3,0,0.0,0.0,0.0,2877.0,402099.0,5411067.0,25740138.0,59761554.0,85573314.0,83984851.0,59714375.0,33574566.0,15775548.0,7668294.0,4689429.0,3528797.0,2954546.0,2550426.0,8107965.0,3939598.0,0.0,0.0,0.0,0.4,49.6,668.0,3177.8,7378.0,10564.6,10368.5,7372.1,4145.0,1947.6,946.7,578.9,435.7,364.8,314.9,1001.0,486.4
DCr,7935,583978.1,98.8,5177,65.2,1194,15.0,1187,15.0,377,4.8,816,10.3,13,18,15.5,18,16.3,4,0,0.0,0.0,0.0,2501.0,400761.0,5078833.0,23722910.0,55495069.0,80943434.0,81695691.0,60050551.0,35058776.0,17084072.0,8299800.0,4906368.0,3607314.0,3001220.0,2604947.0,8494867.0,4491537.0,0.0,0.0,0.0,0.3,50.5,640.1,2989.7,6993.7,10200.8,10295.6,7567.8,4418.2,2153.0,1046.0,618.3,454.6,378.2,328.3,1070.6,566.0
Gun,6471,506725.8,97.3,3076,47.5,1140,17.6,1907,29.5,348,5.4,1145,17.7,22,15,18.5,13,16.7,3,0,0.0,0.0,0.0,3312.0,426864.0,5698590.0,24716975.0,52899402.0,70410799.0,64691464.0,43948482.0,24195036.0,11282152.0,5622451.0,3488620.0,2659091.0,2194948.0,1883274.0,5800988.0,2712771.0,0.0,0.0,0.0,0.5,66.0,880.6,3819.7,8174.8,10881.0,9997.1,6791.6,3739.0,1743.5,868.9,539.1,410.9,339.2,291.0,896.5,419.2
Cal,8100,601213.0,98.4,5187,64.0,1220,15.1,1297,16.0,396,4.9,878,10.8,17,17,17.0,17,17.0,4,0,0.0,0.0,0.0,1590.0,229048.0,3873348.0,21622689.0,54836606.0,83520997.0,85928731.0,63418636.0,36554420.0,17371536.0,8351820.0,5048435.0,3777658.0,3180848.0,2767270.0,8839092.0,4411851.0,0.0,0.0,0.0,0.2,28.3,478.2,2669.5,6770.0,10311.2,10608.5,7829.5,4512.9,2144.6,1031.1,623.3,466.4,392.7,341.6,1091.2,544.7
Thr,8100,587045.0,98.0,5554,68.6,1144,14.1,1083,13.4,319,3.9,677,8.4,19,19,19.0,20,19.3,4,0,0.0,0.0,0.0,542.0,140720.0,2975325.0,18744365.0,50705699.0,80954809.0,86679270.0,66089527.0,39174487.0,18993012.0,9063437.0,5360176.0,3963638.0,3337953.0,2905658.0,9514438.0,5022191.0,0.0,0.0,0.0,0.1,17.4,367.3,2314.1,6260.0,9994.4,10701.1,8159.2,4836.4,2344.8,1118.9,661.8,489.3,412.1,358.7,1174.6,620.0
MaD,8100,588642.0,98.4,5706,70.4,1061,13.1,1072,13.2,261,3.2,646,8.0,17,21,19.0,22,20.0,4,0,0.0,0.0,0.0,1587.0,228424.0,3850242.0,21493157.0,54543928.0,83208669.0,85815130.0,63485286.0,36674178.0,17435153.0,8338522.0,4999613.0,3720207.0,3136391.0,2731552.0,8872066.0,4537545.0,0.0,0.0,0.0,0.2,28.2,475.3,2653.5,6733.8,10272.7,10594.5,7837.7,4527.7,2152.5,1029.4,617.2,459.3,387.2,337.2,1095.3,560.2
Dec,8100,567346.3,97.4,5902,72.9,1053,13.0,873,10.8,272,3.4,589,7.3,21,20,20.5,23,21.3,4,0,0.0,0.0,0.0,0.0,30485.0,1742445.0,14862205.0,44979983.0,77072879.0,86474753.0,69870986.0,42773732.0,21832176.0,10371466.0,5967099.0,4236017.0,3542366.0,3117141.0,10514394.0,6182021.0,0.0,0.0,0.0,0.0,3.8,215.1,1834.8,5553.1,9515.2,10675.9,8626.0,5280.7,2695.3,1280.4,736.7,523.0,437.3,384.8,1298.1,763.2
EWa,8366,588892.0,96.9,5939,71.0,1166,13.9,1023,12.2,238,2.8,668,8.0,24,23,23.5,21,22.7,4,0,0.0,0.0,0.0,2.0,42895.0,1870041.0,15197496.0,45970975.0,78760372.0,89118746.0,72124915.0,44747436.0,23037694.0,11008835.0,6317526.0,4453752.0,3734971.0,3269428.0,10987967.0,6540095.0,0.0,0.0,0.0,0.0,5.1,223.5,1816.6,5495.0,9414.3,10652.5,8621.2,5348.7,2753.7,1315.9,755.1,532.4,446.4,390.8,1313.4,781.7
Cro,6314,483102.6,96.5,3354,53.1,1218,19.3,1561,24.7,181,2.9,740,11.7,27,22,24.5,19,22.7,4,0,0.0,0.0,0.0,1201.0,248393.0,4259489.0,21049856.0,48331772.0,67767135.0,64872885.0,45237841.0,25419863.0,11945713.0,5891017.0,3602731.0,2713979.0,2269246.0,1947963.0,6133151.0,2979439.0,0.0,0.0,0.0,0.2,39.3,674.6,3333.8,7654.7,10732.8,10274.5,7164.7,4026.0,1891.9,933.0,570.6,429.8,359.4,308.5,971.4,471.9
Eag,8366,578574.5,98.0,6433,76.9,1019,12.2,721,8.6,193,2.3,422,5.0,19,25,22.0,27,23.7,4,0,0.0,0.0,0.0,0.0,52909.0,2254558.0,16953449.0,48503496.0,80207543.0,88813834.0,70505940.0,42876577.0,21879517.0,10396864.0,5927413.0,4188126.0,3516140.0,3074970.0,10506059.0,6117976.0,0.0,0.0,0.0,0.0,6.3,269.5,2026.5,5797.7,9587.3,10616.0,8427.7,5125.1,2615.3,1242.8,708.5,500.6,420.3,367.6,1255.8,731.3
Par,8100,561293.8,97.1,6045,74.6,1057,13.0,795,9.8,203,2.5,505,6.2,23,24,23.5,24,23.7,4,0,0.0,0.0,0.0,18.0,42009.0,1618267.0,13659843.0,42503752.0,74958366.0,86947280.0,71223897.0,44562420.0,22678885.0,10740421.0,6097370.0,4352546.0,3677800.0,3214490.0,10949665.0,6433072.0,0.0,0.0,0.0,0.0,5.2,199.8,1686.4,5247.4,9254.1,10734.2,8793.1,5501.5,2799.9,1326.0,752.8,537.4,454.0,396.9,1351.8,794.2
Mai,7419,515237.8,96.6,5565,75.0,872,11.8,830,11.2,152,2.0,483,6.5,25,26,25.5,25,25.3,4,0,0.0,0.0,0.0,0.0,27006.0,1432785.0,12534632.0,39303047.0,68991580.0,79177167.0,64887649.0,40612995.0,20901552.0,9920170.0,5672054.0,3979117.0,3333158.0,2924849.0,9985202.0,5998449.0,0.0,0.0,0.0,0.0,3.6,193.1,1689.5,5297.6,9299.3,10672.2,8746.1,5474.2,2817.3,1337.1,764.5,536.3,449.3,394.2,1345.9,808.5
Sup,7478,520168.6,96.6,5567,74.4,910,12.2,849,11.4,152,2.0,483,6.5,25,27,26.0,25,25.7,4,0,0.0,0.0,0.0,0.0,27013.0,1445938.0,12687998.0,39719532.0,69686431.0,79873629.0,65323069.0,40850796.0,20992540.0,9973177.0,5706353.0,4009726.0,3362222.0,2946993.0,10046234.0,6018552.0,0.0,0.0,0.0,0.0,3.6,193.4,1696.7,5311.5,9318.9,10681.1,8735.4,5462.8,2807.2,1333.7,763.1,536.2,449.6,394.1,1343.4,804.8
FaL,7478,511972.3,96.5,5814,77.7,815,10.9,723,9.7,126,1.7,406,5.4,27,28,27.5,28,27.7,4,0,0.0,0.0,0.0,0.0,22224.0,1267175.0,11767506.0,37983549.0,68206521.0,79730366.0,66304822.0,41984595.0,21769242.0,10340132.0,5830068.0,4071089.0,3394135.0,2996076.0,10321136.0,6342168.0,0.0,0.0,0.0,0.0,3.0,169.5,1573.6,5079.4,9121.0,10662.0,8866.7,5614.4,2911.1,1382.7,779.6,544.4,453.9,400.7,1380.2,848.1
Imp,7478,489782.9,95.6,6157,82.3,705,9.4,560,7.5,56,0.7,250,3.3,29,29,29.0,29,29.0,4,0,0.0,0.0,0.0,0.0,5818.0,629477.0,8248526.0,30857756.0,61928929.0,78859135.0,70211660.0,47003171.0,25282149.0,12130844.0,6598480.0,4517544.0,3760753.0,3312655.0,11741452.0,7868596.0,0.0,0.0,0.0,0.0,0.8,84.2,1103.0,4126.5,8281.5,10545.5,9389.1,6285.5,3380.9,1622.2,882.4,604.1,502.9,443.0,1570.1,1052.2
Jug,8100,523594.6,95.6,6825,84.3,678,8.4,541,6.7,56,0.7,246,3.0,29,32,30.5,30,30.3,6,0,0.0,0.0,0.0,0.0,5873.0,630258.0,8455419.0,32207007.0,65655705.0,84801366.0,76542979.0,51869697.0,28198861.0,13556432.0,7302079.0,4950336.0,4103281.0,3613232.0,12951922.0,8937008.0,0.0,0.0,0.0,0.0,0.7,77.8,1043.9,3976.2,8105.6,10469.3,9449.8,6403.7,3481.3,1673.6,901.5,611.2,506.6,446.1,1599.0,1103.3
Stu,7478,486427.7,95.6,6302,84.3,615,8.2,507,6.8,54,0.7,232,3.1,29,30,29.5,32,30.3,6,0,0.0,0.0,0.0,0.0,5889.0,629107.0,8247408.0,30846563.0,61896498.0,78833709.0,70200244.0,47006311.0,25277568.0,12108381.0,6565164.0,4477642.0,3716163.0,3265245.0,11609915.0,7694577.0,0.0,0.0,0.0,0.0,0.8,84.1,1102.9,4125.0,8277.1,10542.1,9387.6,6285.9,3380.3,1619.2,877.9,598.8,496.9,436.6,1552.5,1029.0
Clo,8100,523394.9,95.6,6841,84.5,680,8.4,523,6.5,56,0.7,241,3.0,29,32,30.5,31,30.7,6,0,0.0,0.0,0.0,0.0,5887.0,629661.0,8451472.0,32192102.0,65622270.0,84774023.0,76547118.0,51887502.0,28208735.0,13559492.0,7299071.0,4946242.0,4097853.0,3610590.0,12974821.0,9098382.0,0.0,0.0,0.0,0.0,0.7,77.7,1043.4,3974.3,8101.5,10465.9,9450.3,6405.9,3482.6,1674.0,901.1,610.6,505.9,445.8,1601.8,1123.3
Sur,7478,485132.4,95.6,6354,85.0,591,7.9,481,6.4,52,0.7,222,3.0,29,31,30.0,34,31.3,6,0,0.0,0.0,0.0,0.0,5889.0,628714.0,8244880.0,30830104.0,61869855.0,78806672.0,70193558.0,47009777.0,25279758.0,12098369.0,6548728.0,4458932.0,3696746.0,3246335.0,11588810.0,7736669.0,0.0,0.0,0.0,0.0,0.8,84.1,1102.6,4122.8,8273.6,10538.5,9386.7,6286.4,3380.6,1617.9,875.7,596.3,494.3,434.1,1549.7,1034.6
Tou,8100,519771.7,95.6,6971,86.1,596,7.4,481,5.9,52,0.6,222,2.7,29,34,31.5,34,32.3,6,0,0.0,0.0,0.0,0.0,5889.0,629803.0,8451817.0,32182483.0,65607890.0,84757185.0,76527265.0,51875566.0,28197683.0,13533348.0,7264624.0,4900368.0,4047724.0,3555374.0,12800375.0,8712499.0,0.0,0.0,0.0,0.0,0.7,77.8,1043.4,3973.1,8099.7,10463.8,9447.8,6404.4,3481.2,1670.8,896.9,605.0,499.7,438.9,1580.3,1075.6
Gla,8100,521525.2,95.6,6924,85.5,634,7.8,491,6.1,51,0.6,223,2.8,29,36,32.5,33,32.7,6,0,0.0,0.0,0.0,0.0,5887.0,629327.0,8446234.0,32175482.0,65581975.0,84731589.0,76538798.0,51897578.0,28214816.0,13558758.0,7284417.0,4926266.0,4078303.0,3591428.0,12940025.0,9036304.0,0.0,0.0,0.0,0.0,0.7,77.7,1042.7,3972.3,8096.5,10460.7,9449.2,6407.1,3483.3,1673.9,899.3,608.2,503.5,443.4,1597.5,1115.6
Blu,7478,485315.2,95.6,6377,85.3,582,7.8,471,6.3,48,0.6,214,2.9,29,35,32.0,37,33.7,6,0,0.0,0.0,0.0,0.0,5867.0,626982.0,8226239.0,30783931.0,61776574.0,78737210.0,70201597.0,47057235.0,25321890.0,12130017.0,6563603.0,4476215.0,3717203.0,3273014.0,11698122.0,7994387.0,0.0,0.0,0.0,0.0,0.8,83.8,1100.1,4116.6,8261.1,10529.2,9387.8,6292.8,3386.2,1622.1,877.7,598.6,497.1,437.7,1564.3,1069.1
ECo,9016,574299.5,95.6,7848,87.0,641,7.1,479,5.3,48,0.5,216,2.4,29,39,34.0,36,34.7,6,0,0.0,0.0,0.0,0.0,5887.0,632616.0,8878309.0,34628125.0,71764928.0,93811701.0,85835806.0,58555270.0,32130965.0,15441780.0,8264342.0,5531931.0,4563056.0,4023206.0,14591181.0,10340968.0,0.0,0.0,0.0,0.0,0.7,70.2,984.7,3840.7,7959.7,10405.0,9520.4,6494.6,3563.8,1712.7,916.6,613.6,506.1,446.2,1618.4,1147.0
FaH,7478,483484.9,95.6,6424,85.9,562,7.5,447,6.0,45,0.6,207,2.8,29,37,33.0,38,34.7,6,0,0.0,0.0,0.0,0.0,5889.0,628396.0,8239224.0,30806485.0,61817433.0,78748669.0,70178959.0,47018424.0,25287982.0,12091334.0,6531193.0,4433867.0,3670975.0,3225240.0,11532409.0,7700832.0,0.0,0.0,0.0,0.0,0.8,84.0,1101.8,4119.6,8266.6,10530.7,9384.7,6287.6,3381.7,1616.9,873.4,592.9,490.9,431.3,1542.2,1029.8
Acr,7478,482554.2,95.6,6463,86.4,546,7.3,426,5.7,43,0.6,194,2.6,29,38,33.5,39,35.3,6,0,0.0,0.0,0.0,0.0,5904.0,625796.0,8210011.0,30721305.0,61662505.0,78644389.0,70190997.0,47098489.0,25350665.0,12119368.0,6534654.0,4439344.0,3679386.0,3236427.0,11621916.0,7865671.0,0.0,0.0,0.0,0.0,0.8,83.7,1097.9,4108.2,8245.9,10516.8,9386.3,6298.3,3390.0,1620.7,873.9,593.7,492.0,432.8,1554.1,1051.8
